id,topic,claim,source_url,publisher,date_accessed,method,confidence
M09,backlash,"Dollar General removed self-checkout from ~12,000 stores (2024); Five Below and Target limiting/removing at high-risk stores; Walmart removing SCO at specific stores 2025-2026 (e.g. South Philadelphia Mar 2026); Aldi removals reported Sep 2025",https://www.nbcnews.com/business/business-news/major-retailers-are-backtracking-self-checkout-rcna160234,NBC News + Axios Chicago + rollingout,2026-09-02,search-snippet,medium
M10,mashgin,"Couche-Tard to deploy >10,000 Mashgin units to >7,000 Circle K stores over three years; in ~500 stores US+Sweden since 2020; Mashgin claims 99.9% accuracy, learns new items in <1 minute and syncs to other stores, ~10 s checkout",https://www.qsrmagazine.com/news/circle-k-and-mashgin-launch-massive-computer-vision-checkout-deployment/,QSR Magazine,2026-09-02,search-snippet,high
M11,thailand,"7-Eleven Thailand: 15,430 stores as of 13 May 2025 (CP All); #2 globally after Japan (~21,600); 51% company-owned, 49% franchise/sub-area",https://en.wikipedia.org/wiki/CP_All,Wikipedia (citing CP All),2026-09-02,search-snippet,medium
M12,thailand,"Thailand food retail: modern trade ~60%, traditional ~40%; traditional mom & pop 44.1% of retail market share 2025 (Mordor); Lotus's 2,000+ stores; Tops 235+; modern trade growing 5-5.5%/yr, traditional -2.1%/yr; convenience CAGR 11.1% 2025-2030",https://www.krungsri.com/en/research/industry/industry-outlook/wholesale-retail/modern-trade/io/modern-trade-2024-2026,Krungsri Research + Mordor,2026-09-02,search-snippet,medium
M13,thailand,"Thai minimum daily wage THB 337-400 by province (7 bands), reconfirmed effective 1 Jul 2026; Bangkok/Phuket/Chonburi/Rayong/Chachoengsao/Samui at 400; ~THB 10,400/month at 26 days",https://www.thailawonline.com/minimum-wage-in-thailand/,ThaiLawOnline,2026-09-02,search-snippet,medium
M14,thailand,"Self-checkout exists in Thailand: 7-Eleven kiosk flow (touch, member number, scan, pay); Tops kiosks; Big C Scan&Pay is phone-app based, no kiosk (user report 2020)",https://medium.com/@watsachon.rainy/self-checkout-in-thailand-e360ec22d410,Medium user report,2026-09-02,search-snippet,low
M15,pricing,"Self-checkout unit cost USD 3,000-40,000; standard retail units USD 4,500-8,000; entry card-only ~USD 3,000; full grocery lane with cash USD 40,000+ (KORONA POS 2026); NCR SCO Essentials from USD 1,800",https://koronapos.com/blog/how-much-do-self-checkout-machines-cost/,KORONA POS + IT Retail,2026-09-02,search-snippet,medium
M16,players,"Standard AI raised >USD 233 m (USD 150 m Series C 2021 at ~USD 1 bn), pivoted to retail data company; acquired Pathr.ai Jan 2026; Zippin USD 45 m total; AiFi USD 90.7 m, 7-Eleven US ramping AiFi checkout-free stores Feb 2026; Trigo active",https://tracxn.com/d/trending-business-models/startups-in-autonomous-checkout-solutions/__u_6ISOrYyMsPZEVJIacs5Nx5UhH89gJ-EBziYR9ueBA/companies,Tracxn + yespress,2026-09-02,search-snippet,low
H01,payments,"Thai QR: EMVCo TLV; tag 29 = PromptPay credit transfer (AID A000000677010111; mobile/national ID/e-wallet sub-tags); tag 30 = Bill Payment merchant template (biller ID, ref1/ref2) used by registered merchants",https://thai-qr-payment.js.org/reference/spec/,thai-qr-payment spec + Blognone,2026-09-02,search-snippet,high
H02,payments,"Slip verification APIs exist (EasySlip, 18+ banks); banks warn AI tools can forge slips; KBank advice: verify account not slip",https://document.easyslip.com/en/guide/getting-started,EasySlip docs + Thaiger + KBank,2026-09-02,search-snippet,high
H03,jwo,"Amazon JWO: ceiling RGB cameras on rails + shelf load-cell weight sensors for small items; new transformer-based multimodal model; synthetic video data for training; receipt to phone",https://www.aboutamazon.com/news/retail/how-does-amazon-just-walk-out-work,Amazon,2026-09-02,search-snippet,high
H04,everseen,"Everseen Evercheck: real-time missed-scan nudge on SCO, ~300 ms; NCR Voyix Halo uses Everseen Evershow with four cameras above tray, bulk-scans up to 20 items any orientation; Phillips 66/Mach 1 deployment Jan 2025",https://www.businesswire.com/news/home/20250110501817/en/Phillips-66-and-Mach-1-Revolutionize-Their-Checkout-Experience-with-NCR-Voyix-Halo-Checkout-Solution-and-Everseen-Technology,BusinessWire/NCR Voyix,2026-09-02,search-snippet,high
H05,weight-security,"SCO bagging scale compares bag weight to expected weight from UPC database; false positives from light items, markdowns, reusable bags; some retailers disabled weight sensors due to interventions",https://medium.com/the-ux-chap/why-self-service-checkouts-suck-276b2b73a389,UX Chap (Medium) + Justia patents,2026-09-02,search-snippet,medium
H06,loadcell,"Typical cheap bar load cell spec: hysteresis 0.02% FS, creep 0.02% FS/10 min, zero temp effect 0.03% FS/10 C, span temp effect 0.02% FS/10 C; uncompensated systems can be off several percent",https://learn.sparkfun.com/tutorials/load-cell-amplifier-hx711-breakout-hookup-guide/all,SparkFun + RobTillaart HX711 issue 21,2026-09-02,search-snippet,medium
H07,edge,"Raspberry Pi AI HAT+: 13 TOPS Hailo-8L USD 70; 26 TOPS Hailo-8 USD 110; PCIe Gen3; YOLOv8n ~60 fps on Hailo-8L vs 3-5 fps CPU",https://www.raspberrypi.com/news/raspberry-pi-ai-hat/,Raspberry Pi + Jeff Geerling,2026-09-02,search-snippet,high
H08,tax,"Revenue Code s.86/4 full tax invoice; s.86/6 abbreviated tax invoice for retail/B2C with Director-General approval; fields: words 'Tax Invoice', seller name/address/TIN, number, goods, amount, VAT, date; e-Tax invoice by email route under 2017 regulation",https://library.siam-legal.com/thai-law/revenue-code-tax-invoice-debit-note-credit-note-section-86/,Siam Legal + Forvis Mazars,2026-09-02,search-snippet,high
L11,pdpa,"PDPA s.23: controller must give privacy notice before/at collection: purpose, legal basis, retention period (or expected period), recipients, controller contact, data subject rights; PDPA has no explicit DPIA duty but requires risk assessment when adopting new technology",https://www.lexology.com/library/detail.aspx?g=abdc89f6-ff93-4ac4-94b8-31b781d52218,Lexology (PDPC notice guideline summary) + Siam Legal,2026-09-02,search-snippet,medium
L12,pdpa,"Practitioner consensus (Thai PDPA firms): CCTV in shops relies on legitimate interest, no consent needed, but a visible CCTV notice sign + CCTV privacy policy are required; facial images are personal data",https://pdpathailand.com/knowledge-pdpa/pdpa-cctv/,PDPA Thailand + Dharmniti + EasyPDPA,2026-09-02,search-snippet,medium
L13,alcohol,"ABCA No.2: sellers may check ID to verify age; DDC to announce intoxication-assessment conditions; advertising breaches up to THB 500,000 + THB 50,000/day; officers may order premises closure for sales violations",https://www.tilleke.com/insights/thailands-updated-alcohol-law-balances-public-health-and-tourism/,Tilleke & Gibbins,2026-09-02,fetched,high
L14,metrology,"APLMF Thailand page: NAWI, spring scales, weights etc. subject to verification; automatic weighing instruments and kitchen scales exempt; manufacturer-verified instruments valid 2 years; fees USD 1-200",https://www.aplmf.org/thailand.html,APLMF,2026-09-02,fetched,high
L15,ethics,"ISEF rules: any study obtaining data through interaction with living individuals (surveys, testing a prototype with people other than the student) needs IRB pre-approval + Human Participants Form 4; exemptions: student testing own prototype alone, public data, non-interactive public observation with no identifying data",https://www.societyforscience.org/isef/international-rules/human-participants/,Society for Science,2026-09-02,fetched,high
L16,ethics,"ISEF: teams max 3; research duration max 12 months; one project per student per year; ISEF 2027 Los Angeles 8-14 May 2027",https://www.societyforscience.org/isef/international-rules/rules-for-all-projects/,Society for Science,2026-09-02,search-snippet,high
I05,dataset-licence,"RPC dataset licence CC BY-NC-SA 4.0; ~53,739 single-product train images; 30,000 checkout images; ~367,935 instances",https://rpc-dataset.github.io/,RPC authors,2026-09-02,fetched,high
I06,dataset-licence,"Products-10K: non-commercial research and educational use only; employer bound if for-profit",https://products-10k.github.io/,Products-10K authors,2026-09-02,search-snippet,high
I07,patent,"Mashgin Series B USD 62.5 m at USD 1.5 bn valuation led by NEA (May 2022); total funding USD 74.7 m",https://www.prnewswire.com/news-releases/mashgin-raises-62-5m-series-b-funding-at-a-1-5-billion-valuation-led-by-nea-301542339.html,PR Newswire,2026-09-02,search-snippet,high
M17,thailand,"Thailand has >400,000 traditional grocery stores (โชห่วย); DBD 'Smart Chohuay' programme trained 2,917 shops in 2025 and upgraded 300 to POS-equipped 'smart' shops",https://www.healthystations.net/2026/06/pos-6040.html,DBD via healthystations/Naewna/PRD,2026-09-02,search-snippet,medium
M18,thailand,"Thailand: 65.8 m people, 14.1 m aged 60+ (21.5%) Sep 2025; working-age share projected 71% (2020) to 56% (2060); firms redeploying seniors to cashier/greeter roles",https://www.bangkokpost.com/business/general/3134283/thailand-taps-into-silver-workforce,Bangkok Post + Kasikorn Research,2026-09-02,search-snippet,medium
M19,shrink,"ECR Retail Loss 'Self-Checkout Loss 2026' (Hopkins, Univ. Leicester, 16 Jun 2026; 39 retailers, >EUR 1 tn turnover): SCO stores +0.42 pp loss (+33%); each +1% SCO share adds 0.030-0.048% loss; 54% of transactions via SCO; missed scans in 1-4.8% of transactions; walkaway avg EUR 88",https://ecrloss.com/research-paper/self-checkout-loss-report-2026/,ECR Retail Loss,2026-09-02,fetched,high
M20,shrink,"ECR/Beck 2018 & 2022: ~52% of SCO loss accidental vs 48% malicious; shrink rises ~22% in first year after SCO introduction",https://www.ecrloss.com/research/self-checkout-loss-increasing-participation-and-scan-accuracy-through-design/,ECR Shrink Group,2026-09-02,search-snippet,medium
M21,backlash,"Amazon announced 2 Apr 2024 removal of JWO from all US Amazon Fresh stores, replaced by Dash smart carts; reason given: customers wanted deals/receipts in real time",https://www.grocerydive.com/news/amazon-just-walk-out-checkout-payment-smart-cart-grocery/712020/,Grocery Dive,2026-09-02,fetched,high
H09,nvidia,"NVIDIA smart self-checkout reference: detect -> embed -> similarity match vs embedding DB -> validate against barcode scanner; unseen items flagged for active learning; /tune/feedback retrains embeddings; provided as-is",https://docs.nvidia.com/mms/text/Smart_self_checkout_Overview.html,NVIDIA,2026-09-02,fetched,high
H10,nvidia,"NVIDIA TAO Retail Object Recognition v2: FAN-Base-Hybrid trunk, 448-d embedding, trained on 80k synthetic + 48k real images / 315 classes, triplet + CE loss; retrieval by L2 to reference DB; recommends 20-30 reference images per class; ~86% retrieval acc with 100 refs/class; 87.97% closed-set; NVIDIA Model EULA",https://catalog.ngc.nvidia.com/orgs/nvidia/teams/tao/models/retail_object_recognition,NVIDIA NGC,2026-09-02,fetched,high
H11,gs1,"GS1 Thailand: THB 7,000 entrance fee first year + annual membership; GTIN + GLN issued; express issue within 1 business day",https://gs1th.org/en/get-a-barcode-en/,GS1 Thailand,2026-09-02,search-snippet,medium
H12,fusion-lit,"FAIM (Falcao et al. 2020, Frontiers in Built Environment): vision+weight fusion 92.6% item ID vs weight-only 91.5% and vision-only ~60-70%; claims 2x error reduction vs reported SCO",https://www.frontiersin.org/journals/built-environment/articles/10.3389/fbuil.2020.568372/full,Frontiers,2026-09-02,fetched,high
V01,venue,"YSC 2027 (29th, NSTDA/NECTEC): registration closed 25 Aug 2026 17:00; proposal due 10 Sep 2026 17:00; secondary students to age 20; winners eligible for Regeneron ISEF 2027",https://www.spip.in.th/call-for-applications-young-scientist-competition-ysc-2027/,SPIP + NSTDA,2026-09-02,fetched,high
V02,venue,"TICTA 2026 (22nd, ATCI): student/undergraduate category; submissions closed 20 Jul 2026; winners represent Thailand at APICTA 2026 in Jakarta",https://www.thestorythailand.com/thailand-ict-awards-2026/,The Story Thailand,2026-09-02,fetched,high
V03,venue,"Conrad Challenge 2026-27: opens 27 Aug 2026; Stage 1 due 30 Oct 2026; Stage 2 due 8 Jan 2027; Summit 21-24 Apr 2027 Houston",https://www.prnewswire.com/news-releases/space-center-houston-and-equinor-seek-the-next-big-idea-as-stem-based-conrad-challenge-season-launches-302861083.html,PR Newswire,2026-09-02,search-snippet,medium
V04,venue,"Imagine Cup Junior 2027: ages 13-18, deadline 1 Apr 2027, no fee",https://imaginecup.microsoft.com/en-us/category/34,Microsoft,2026-09-02,search-snippet,medium
V05,venue,"Journal of Student Research (HS edition): APC USD 50 at submission + USD 299 post-review; at least one peer reviewer",https://riseglobaleducation.com/publications/how-to-publish-in-journal-of-student-research-high-school-edition,Rise (secondary),2026-09-02,search-snippet,low
V06,venue,"ECTI-CON 2027 (24th): Bangkok, The Park Nine Suvarnabhumi; paper deadline 1 Feb 2027; notification 15 Mar 2027; camera-ready 31 Mar 2027; conference late May 2027 (site shows both 24-27 and 26-29 May)",https://ecti-con2027.org/,ECTI Association,2026-09-02,fetched,high
V07,venue,"KST 2027 (19th): Tokyo Metropolitan University 17-20 Mar 2027; round 2 submission closes 10 Sep 2026; notification 10 Oct 2026; 8-12 pages; IEEE Xplore; ECTI-CIT extension",https://kst.buu.ac.th/2027/,KST/BUU,2026-09-02,fetched,high
V08,venue,"JCSSE 2026 (23rd, KMUTT Bangkok, 24-27 Jun 2026): three submission rounds Jan-Apr; IEEE Xplore; topics incl. CV, IoT, AI — expect JCSSE 2027 on same cadence",https://jcsse2026.org/,JCSSE,2026-09-02,fetched,high
V09,venue,"ICSEC 2026 (30th): hosted by Chiang Mai University (CMU IRAC notice); IEEE Xplore series",https://ird.oou.cmu.ac.th/th/th-conference-icsec-2026/,CMU,2026-09-02,search-snippet,medium
V10,venue,"AI City Challenge 2026 (10th, ECCV 2026): six tracks, none retail; Track 4 retail checkout ran 2022-2023 only; 2026 submission deadline was 10 Jul 2026",https://www.aicitychallenge.org/,AI City Challenge,2026-09-02,fetched,high
V11,venue,"Physical Retail AI Workshop (PRAW) 3rd ed. at WACV 2026 (7 Mar 2026): ~6 papers; GroceryVision challenge 3 tracks incl. Track 2 Multi-modal Product Retrieval (74,200 train images, 409 SKUs); challenge deadline was 16 Jan 2026; prior editions WACV24, CVPR24, WACV25, ICCV25",https://wacv.thecvf.com/virtual/2026/workshop/38,WACV/PRAW + grocery-vision.github.io,2026-09-02,fetched,high
V12,venue,"CVPR 2026 tutorial 'CV at Scale: Checkout-Free Retail' by ex-Zippin engineers: multi-camera calibration, real-time multi-camera tracking, production reliability",https://checkout-free-tutorial-cvpr26.github.io/,tutorial site,2026-09-02,fetched,high
V13,venue,"ISEF 2026 (Phoenix, 9-15 May 2026): Thai team from Prince Royal's College Chiang Mai won 1st Place Grand Award with low-cost AI malaria diagnosis; Thailand took 6 major awards",https://honeykidsasia.com/thailand/thai-students-win-awards-isef-2026/,HoneyKids Asia,2026-09-02,search-snippet,medium
M22,backlash,"Amazon announced Jan 2026 closure of all Amazon Fresh and all ~15 remaining Amazon Go stores (72 stores total), most closing first weekend Feb 2026; some converted to Whole Foods; JWO continues as a product for third-party venues",https://www.cnn.com/2026/01/27/food/amazon-fresh-go-closures,CNN + GeekWire + Retail Dive,2026-09-02,search-snippet,high
P01,paper,"RPC: A Large-Scale Retail Product Checkout Dataset — Wei, Cui, Yang et al., 2019",https://arxiv.org/abs/1901.07249,arXiv,2026-09-02,fetched,high
P02,paper,"Products-10K: A Large-scale Product Recognition Dataset — Bai, Chen, Yu et al., 2020",https://arxiv.org/abs/2008.10545,arXiv,2026-09-02,fetched,high
P03,paper,"RP2K: A Large-Scale Retail Product Dataset for Fine-Grained Image Classification — Peng, Xiao, Li, 2020; >500k images, 2000 categories",https://arxiv.org/abs/2006.12634,arXiv,2026-09-02,fetched,high
P04,paper,"A Hierarchical Grocery Store Image Dataset with Visual and Semantic Labels — Klasson, Zhang, Kjellström, WACV 2019",https://arxiv.org/abs/1901.00711,arXiv,2026-09-02,fetched,high
P05,paper,"Recognizing Groceries in situ Using in vitro Training Data — Merler, Galleguillos, Belongie, CVPR Workshops 2007 (GroZi-120)",https://www.michelemerler.com/papers/grozi_cvprw07.pdf,author site,2026-09-02,search-snippet,high
P06,paper,"The Freiburg Groceries Dataset — Jund, Abdo, Eitel et al., 2016; 5000 images, 25 classes",https://arxiv.org/abs/1611.05799,arXiv,2026-09-02,fetched,high
P07,paper,"Precise Detection in Densely Packed Scenes (SKU-110K) — Goldman, Herzig, Eisenschtat et al., CVPR 2019",https://arxiv.org/abs/1904.00853,arXiv,2026-09-02,fetched,high
P08,paper,"Unitail: Detecting, Reading, and Matching in Retail Scene — Chen, Zhang, Li et al., ECCV 2022; 1.8M instances",https://arxiv.org/abs/2204.00298,arXiv,2026-09-02,fetched,high
P09,paper,"The 6th AI City Challenge — Naphade, Wang, Anastasiu et al., CVPRW 2022; Track 4 automated retail checkout single camera",https://arxiv.org/abs/2204.10380,arXiv,2026-09-02,fetched,high
P10,paper,"The 7th AI City Challenge — Naphade, Wang, Anastasiu et al., 2023; Track 4 retail checkout",https://arxiv.org/abs/2304.07500,arXiv,2026-09-02,fetched,high
P11,paper,"Exploring Fine-grained Retail Product Discrimination with Zero-shot Object Classification Using VLMs — Tur, Conti, Beyan et al., IEEE RTSI 2024; MIMEX 28 categories; CLIP+DINOv2 ensemble beats VLMs",https://arxiv.org/abs/2409.14963,arXiv,2026-09-02,fetched,high
P12,paper,"Deep Learning for Retail Product Recognition: Challenges and Techniques — Wei, Tran, Xu, Kang, Springer; Comput. Intell. Neurosci. 2020; DOI 10.1155/2020/8875910",https://onlinelibrary.wiley.com/doi/10.1155/2020/8875910,Wiley,2026-09-02,search-snippet,high
P13,paper,"A Review: One-Shot Object Detection Methods for Conditional Detection of Retail and Warehouse Products — Neural Processing Letters 2025, DOI 10.1007/s11063-025-11742-0",https://link.springer.com/article/10.1007/s11063-025-11742-0,Springer,2026-09-02,search-snippet,medium
P14,paper,"Datasets and methods of product recognition on grocery shelf images ... exhaustive literature review — Eng. Appl. AI 2024 (DOI to fetch)",https://www.researchgate.net/publication/381868260_Datasets_and_methods_of_product_recognition_on_grocery_shelf_images_using_computer_vision_and_machine_learning_approaches_An_exhaustive_literature_review,ResearchGate,2026-09-02,search-snippet,low
P15,paper,"Prototypical Networks for Few-shot Learning — Snell, Swersky, Zemel, 2017",https://arxiv.org/abs/1703.05175,arXiv,2026-09-02,fetched,high
P16,paper,"A Closer Look at Few-shot Classification — Chen, Liu, Kira et al., ICLR 2019; deeper backbones shrink gaps between methods",https://arxiv.org/abs/1904.04232,arXiv,2026-09-02,fetched,high
P17,paper,"ArcFace: Additive Angular Margin Loss for Deep Face Recognition — Deng, Guo, Yang et al., 2018 (TPAMI version)",https://arxiv.org/abs/1801.07698,arXiv,2026-09-02,fetched,high
P18,paper,"Supervised Contrastive Learning — Khosla, Teterwak, Wang et al., 2020",https://arxiv.org/abs/2004.11362,arXiv,2026-09-02,fetched,high
P20,paper,"Domain Invariant Hierarchical Embedding for Grocery Products Recognition — Tonioni, Di Stefano et al., 2019",https://arxiv.org/abs/1902.00760,arXiv,2026-09-02,fetched,high
P21,paper,"A Few-Shot Learning Pipeline for Retail Product Recognition Using Object Detection and Metric Embeddings — ICOIACT 2025; RT-DETR v3 + embedding similarity",https://www.researchgate.net/publication/400045785_A_Few-Shot_Learning_Pipeline_for_Retail_Product_Recognition_Using_Object_Detection_and_Metric_Embeddings,ResearchGate,2026-09-02,search-snippet,medium
P22,paper,"Searching for MobileNetV3 — Howard, Sandler, Chu et al., ICCV 2019",https://arxiv.org/abs/1905.02244,arXiv,2026-09-02,fetched,high
P23,paper,"Learning Transferable Visual Models From Natural Language Supervision (CLIP) — Radford, Kim, Hallacy et al., 2021",https://arxiv.org/abs/2103.00020,arXiv,2026-09-02,fetched,high
P24,paper,"Sigmoid Loss for Language Image Pre-Training (SigLIP) — Zhai, Mustafa, Kolesnikov et al., ICCV 2023",https://arxiv.org/abs/2303.15343,arXiv,2026-09-02,fetched,high
P25,paper,"DINOv2: Learning Robust Visual Features without Supervision — Oquab, Darcet, Moutakanni et al., 2023",https://arxiv.org/abs/2304.07193,arXiv,2026-09-02,fetched,high
P26,paper,"DINOv3 — Siméoni, Vo, Seitzer et al., 2025",https://arxiv.org/abs/2508.10104,arXiv,2026-09-02,fetched,high
P27,paper,"What Matters for Grocery Product Retrieval with Open Source Vision Language Models — Maminta, Atienza et al., May 2026; 190 models on GroceryVision MPR; data quality > scale by up to 16.6%; MobileCLIP-B strong",https://arxiv.org/abs/2605.18029,arXiv,2026-09-02,fetched,high
P29,paper,"Toward Open Set Recognition — Scheirer, Rocha, Sapkota, Boult, IEEE TPAMI 35(7):1757-1772, 2013, DOI 10.1109/TPAMI.2012.256",https://doi.org/10.1109/TPAMI.2012.256,IEEE,2026-09-02,search-snippet,high
P30,paper,"Recent Advances in Open Set Recognition: A Survey — Geng, Huang, Chen, TPAMI (arXiv 2018)",https://arxiv.org/abs/1811.08581,arXiv,2026-09-02,fetched,high
P31,paper,"Generalized Out-of-Distribution Detection: A Survey — Yang, Zhou, Li, Liu, 2021 (rev. 2024)",https://arxiv.org/abs/2110.11334,arXiv,2026-09-02,fetched,high
P32,paper,"A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks — Hendrycks & Gimpel, ICLR 2017",https://arxiv.org/abs/1610.02136,arXiv,2026-09-02,fetched,high
P33,paper,"Energy-based Out-of-distribution Detection — Liu, Wang, Owens, Li, NeurIPS 2020",https://arxiv.org/abs/2010.03759,arXiv,2026-09-02,fetched,high
P34,paper,"Open-Set Recognition: a Good Closed-Set Classifier is All You Need? — Vaze, Han, Vedaldi, Zisserman, ICLR 2022 oral",https://arxiv.org/abs/2110.06207,arXiv,2026-09-02,fetched,high
P35,paper,"Towards Open World Object Detection — Joseph, Khan, Khan, Balasubramanian, CVPR 2021 oral",https://arxiv.org/abs/2103.02603,arXiv,2026-09-02,fetched,high
P38,paper,"ByteTrack: Multi-Object Tracking by Associating Every Detection Box — Zhang, Sun, Jiang et al., 2021 (ECCV 2022)",https://arxiv.org/abs/2110.06864,arXiv,2026-09-02,fetched,high
P39,paper,"Segment Anything — Kirillov, Mintun, Ravi et al., 2023; Grounding DINO — Liu, Zeng, Ren et al., 2023",https://arxiv.org/abs/2304.02643,arXiv,2026-09-02,fetched,high
